1	[21755, 97, 29111, 688, 11727, 7771, 2970, 1360, 1878, 7772, 10022, 29112, 42, 17042, 7773, 423, 1958, 913, 17043, 1587, 1588, 478, 243, 94, 315, 21756, 27, 10023, 21757, 316, 29113, 815, 17044, 6230, 3818, 21758, 3147, 10024, 6231, 29114, 2971, 17045]
2	[5131, 29111, 3340, 171, 1879, 8756]
3	[10025, 29115, 17046, 597, 5666, 10026, 10027, 17047]
4	[2241, 10028, 17048, 7774, 554, 17049, 3561, 4092, 3562, 2375, 8757, 10029, 21759, 10030, 17050, 6930, 11728, 29116, 1116, 11729, 338, 4722, 29117, 200, 40061, 29118, 21760, 1719, 147, 402, 706, 6931, 29115, 40062, 40063, 1530, 21761, 11730, 1531, 914, 2026]
5	[29119, 973, 29120, 29121, 1117, 2495]
6	[29122, 21762, 17051, 29121, 3341]
7	[40064, 21763, 11731, 1589, 8758, 2972]
8	[1796, 29123, 3819, 29124, 7775, 10031, 21764]
9	[21765, 29123, 5667, 127, 326]
10	[773, 13951, 10032, 3820, 21766, 21767, 40065, 2640, 40066, 8759, 1720, 13952, 17052]
11	[3821, 40067, 53, 707, 2641, 17053, 29125]
12	[40068, 25, 11732, 5132, 864, 1118, 569, 4093, 2376, 2377, 1532]
13	[2797, 40069, 1034, 13953, 40070]
14	[17054, 656, 3563, 21768, 29126, 40071]
15	[40072, 31, 82, 4094, 1654]
16	[7776, 21769, 915, 11733, 29127, 11734]
17	[29127, 2798, 21770, 21771, 17055, 729, 974, 28, 1655, 21772]
18	[1533, 40073, 40074, 3822, 29128]
19	[40075, 1361, 29129, 2496, 7777, 2799, 2242, 29130]
20	[6232, 11735, 2243, 6932, 21773, 2800, 13954]
21	[1534, 4095, 1656, 29131, 40076, 532, 29132, 13955, 6932, 431]
22	[6932, 479, 22, 499, 6233, 6933, 3148, 7778, 11736, 4723]
23	[10033, 6932, 333, 40077, 13956, 4724]
24	[69, 307, 1590, 11737, 6932, 21]
25	[6932, 1657, 2378, 17056, 2642, 913, 21774, 1591, 882, 17057, 5668, 29133, 21775, 29134, 3823, 21776]
26	[6932, 13957, 7779, 2643, 29135, 17058]
27	[65, 3564, 1360, 6932, 4375, 129, 17059, 8760, 51, 2244, 1223, 21777, 1362, 6234, 333, 2245, 17060, 244, 5133, 2644, 7780]
28	[5134, 756, 3824, 413, 1196, 6934, 6932]
29	[5135, 2124, 1658, 6932, 274]
30	[730, 8761, 29136, 8762, 8763, 21778, 6235, 2246, 3342]
31	[3565, 3825, 21778, 17061, 6935]
32	[465, 192, 6236, 11738, 17062, 21778]
33	[13958, 182, 2497, 2973, 21779, 10034, 1035, 29137, 29138, 942, 706, 2974]
